Prediction,Target,Machine Percentage,Similarity Percent,Occurances,Count
"['security personalization', 'personalization', 'internet', 'web services', 'policy', 'e commerce security', 'e security policy', 'e security policy', 'e security policy', 'e security policy', 'e security policy', 'e security policy']","['security', 'personalization', 'web services', 'internet services', 'security policy', 'negotiation']",N/A,0.6,1,128
,,,,,
gals,networks on chip,-0.09814401,0.04,1,129
,,,,,
asynchronous communication,asynchronous fifo,0.389716715,0.54,1,130
,,,,,
cmos,asynchronous fifo,0.006249265,0.04,1,131
,,,,,
asynchronous converter,asynchronous fifo,0.4494766,0.5,1,132
,,,,,
"['gals', 'asynchronous communication', 'cmos', 'asynchronous converter']","['synchronization', 'networks on chip', 'globally asynchronous locally synchronous', 'multi processor systems on chip', 'asynchronous fifo']",N/A,0.3,1,133
,,,,,
simulation,modeling and simulation of manufacturing systems,0.232770562,0.3,1,134
,,,,,
design,strategies for production systems design,0.166929513,0.3,1,135
,,,,,
organizational structures,modeling and simulation of manufacturing systems,0.153094888,0.4,1,136
,,,,,
manufacturing systems,modeling and simulation of manufacturing systems,0.392934978,0.4,1,137
,,,,,
structuring strategies,strategies for production systems design,0.191072524,0.2,1,138
,,,,,
forecasted order program,modeling and simulation of manufacturing systems,0.156593636,0.4,1,139
,,,,,
organization modeling system form,strategies for production systems design,0.327270031,0.1,1,140
,,,,,
"['simulation', 'design', 'organizational structures', 'manufacturing systems', 'structuring strategies', 'forecasted order program', 'organization modeling system form']","['modeling and simulation of manufacturing systems', 'strategies for production systems design']",N/A,0.3,1,141
,,,,,
selectors,applications,0.110072717,0.03,1,142
,,,,,
pseudo random generators,randomization,0.193139941,0.5,1,143
,,,,,
deterministic protocols,randomization,0.049048305,0.03,1,144
,,,,,
test sets,test,0.332866967,0.67,1,145
,,,,,
coin weighting,randomization,-0.026321305,0.64,1,146
,,,,,
deterministic broadcasting,randomization,0.038339101,0.02,1,147
,,,,,
deterministic wake up,randomization,-0.049609434,0.01,1,148
,,,,,
"['selectors', 'pseudo random generators', 'deterministic protocols', 'test sets', 'coin weighting', 'deterministic broadcasting', 'deterministic wake up']","['applications', 'paper', 'object', 'randomization', 'optimality', 'direct', 'test', 'use']",N/A,0.4,1,149
,,,,,
torsional problems,torsion,0.457831055,0.43,1,150
,,,,,
h refinement,selective h refinement,0.353341192,0.54,1,151
,,,,,
a posteriori error estimates,finite elements,-0.05134489,0.03,1,152
,,,,,
maximum shearing stress,maximum shearing stress,1,1,1,153
,,,,,
selective refinement,selective h refinement,0.593480229,0.89,1,154
,,,,,
"['torsional problems', 'h refinement', 'a posteriori error estimates', 'maximum shearing stress', 'selective refinement']","['finite elements', 'torsion', 'membrane analogy', 'maximum shearing stress', 'selective h refinement']",N/A,0.5,1,155
,,,,,
rns,rsa cryptography,0.115343936,0.21,1,156
,,,,,
montgomery multiplication,montgomery multiplication,1,1,1,157
,,,,,
modular exponentiation,modular exponentiation,1,1,1,158
,,,,,
residue number system,residue number systems,0.930352569,0.95,1,159
,,,,,
parallel processing,modular exponentiation,0.201987952,0.04,1,160
,,,,,
"['rns', 'montgomery multiplication', 'modular exponentiation', 'residue number system', 'parallel processing']","['montgomery multiplication', 'base transformation', 'modular exponentiation', 'residue number systems', 'rsa cryptography']",N/A,0.89,1,161
,,,,,
quality in use,quality,0.210580394,0.45,1,162
,,,,,
grounded design,design,0.266178817,0.45,1,163
,,,,,
context of use,value,-0.041329172,0.03,1,164
,,,,,
design for value,design,0.270760149,0.34,1,165
,,,,,
design for the world,design,0.223085001,0.35,7,166
,,,,,
"['quality in use', 'grounded design', 'context of use', 'design for value', 'design for the world', 'design for the world', 'design for the world', 'design for the world', 'design for the world', 'design for the world', 'design for the world']","['quality', 'value', 'design', 'fit']",N/A,0.4,1,167
,,,,,
fugu rubripes,family <digit> gpcrs,0.034926131,0.1,1,168
,,,,,
pufferfish,duplicated genes,-0.016678043,0.1,1,169
,,,,,
gene,evolution,0.109953895,0.4,1,170
,,,,,
gpcr receptors,family <digit> gpcrs,0.113613211,0.34,1,171
,,,,,
phylogeny,evolution,0.123012953,0.2,1,172
,,,,,
"['fugu rubripes', 'pufferfish', 'gene', 'gpcr receptors', 'phylogeny']","['family <digit> gpcrs', 'teleost', 'duplicated genes', 'evolution']",N/A,0.3,1,173
,,,,,
blotto game,blotto game,1,1,1,174
,,,,,
subcarrier allocation,subcarrier allocation,1,1,1,175
,,,,,
ofdma,ofdma,1,1,1,176
,,,,,
budget allocation,subcarrier allocation,0.299215168,0.4,1,177
,,,,,
competitive fairness,fairness,0.435252249,0.4,1,178
,,,,,
nash equilibrium,efficiency,0.06132843,0.04,1,179
,,,,,
power allocation,subcarrier allocation,0.267054617,0.4,1,180
,,,,,
"['blotto game', 'subcarrier allocation', 'ofdma', 'budget allocation', 'competitive fairness', 'nash equilibrium', 'power allocation']","['blotto game', 'complexity', 'fairness', 'subcarrier allocation', 'ofdma', 'efficiency', 'correlated fading']",N/A,0.6,1,181
,,,,,
polymerization,dielectric properties,0.124361984,0.23,1,182
,,,,,
dielectric properties,dielectric properties,1,1,1,183
,,,,,
curing agent,dielectric properties,0.039907627,0.02,1,184
,,,,,
loss factor,dielectric properties,-0.011148464,0.03,1,185
,,,,,
unsaturated polymers,unsaturated polyester resin,0.658561349,0.56,1,186
,,,,,
"['polymerization', 'dielectric properties', 'curing agent', 'loss factor', 'unsaturated polymers']","['dielectric properties', 'unsaturated polyester resin', 'embedded capacitors']",N/A,0.5,1,187
,,,,,
online,online,0.999999762,1,1,188
,,,,,
pseudo online,online,0.345483452,0.5,1,189
,,,,,
word recognition,word recognition,1,1,1,190
,,,,,
stroke order independent,word recognition,0.003052745,0.5,1,191
,,,,,
classification,classifier combination,0.368270695,0.4,1,192
,,,,,
eigenvalues,cursive,-0.006825667,0.2,1,193
,,,,,
"['online', 'pseudo online', 'word recognition', 'stroke order independent', 'classification', 'eigenvalues']","['online', 'cursive', 'word recognition', 'offline', 'handwriting', 'classifier combination']",N/A,0.7,1,194
,,,,,
quasi gaussian pulses,gaussian pulse,0.51616466,0.4,1,195
,,,,,
gaussian pulses,gaussian pulse,0.915518522,0.95,1,196
,,,,,
spectral mask,spectral analysis,0.581748486,0.5,1,197
,,,,,
gaussian pulse generation,gaussian pulse,0.710460901,0.5,1,198
,,,,,
gaussian pulse correlation,gaussian pulse,0.666881561,0.4,1,199
,,,,,
"['quasi gaussian pulses', 'gaussian pulses', 'spectral mask', 'gaussian pulse generation', 'gaussian pulse correlation']","['gaussian pulse', 'correlation techniques', 'digital signal processing', 'spectral analysis', 'ultra wideband']",N/A,0.5,1,200
,,,,,
semi definite programming,semi definite programming,0.999999762,1,1,201
,,,,,
support vector machines,support vector machines,1,1,1,202
,,,,,
margin,margin,1,1,1,203
,,,,,
generalization bound,margin,-0.012996332,0.6,1,204
,,,,,
linear principal component analysis,principal component analysis,0.595280528,0.8,1,205
,,,,,
"['semi definite programming', 'support vector machines', 'margin', 'generalization bound', 'linear principal component analysis']","['semi definite programming', 'support vector machines', 'margin', 'robustness', 'principal component analysis', 'statistical learning theory', 'maximal margin algorithm']",N/A,0.8,1,206
,,,,,
auditing,auditing tool,0.429628462,0.6,1,207
,,,,,
umls,auditing of the umls,0.095266081,0.4,1,208
,,,,,
concept networks,auditing of ontologies,0.134640574,0.03,1,209
,,,,,
hybrid diagram text interface,hybrid diagram text user interface,0.890180171,0.4,1,210
,,,,,
auditory interface,user interface,0.379751325,0.23,1,211
,,,,,
knowledge representation,user interface,-0.046117049,0.1,1,212
,,,,,
"['auditing', 'umls', 'concept networks', 'hybrid diagram text interface', 'auditory interface', 'knowledge representation']","['auditing tool', 'software tool', 'unified medical language system', 'auditing of terminologies', 'auditing of ontologies', 'auditing of the umls', 'user interface', 'hybrid diagram text user interface']",N/A,0.4,1,2013
,,,,,
global optimization,global optimization,0.999999762,1,1,214
,,,,,
cluster effect,cluster effect,0.999999762,1,1,215
,,,,,
uniqueness tests,uniqueness test,0.916786551,0.95,1,216
,,,,,
krawczyk operator,krawczyk operator,1,1,1,217
,,,,,
k d tree,krawczyk operator,0.10062851,0.2,5,218
,,,,,
k,krawczyk operator,0.104316853,0.12,1,219
,,,,,
"['global optimization', 'cluster effect', 'uniqueness tests', 'krawczyk operator', 'k d tree', 'k d tree', 'k d tree', 'k d tree', 'k d tree', 'k']","['exclusion region', 'branch and bound', 'global optimization', 'cluster effect', 'uniqueness test', 'krawczyk operator', 'validated enclosure', 'existence test', 'inclusion region', 'kantorovich theorem', 'backboxing', 'affine invariant', 'primary 65h20', '65g30']",N/A,0.4,1,222
,,,,,
meetings,analysis of meetings,0.221516266,0.43,1,221
,,,,,
social signals,persuasive words,0.147745624,0.32,1,222
,,,,,
social dialogue acts,persuasive words,0.06273073,0.23,1,223
,,,,,
persuasive words,persuasive words,1,1,1,224
,,,,,
cscw,persuasive words,-0.198623583,0.21,6,225
,,,,,
"['meetings', 'social signals', 'social dialogue acts', 'persuasive words', 'cscw', 'cscw', 'cscw', 'cscw', 'cscw', 'cscw']","['persuasive words', 'analysis of meetings', 'applications of machine learning']",N/A,1,1,22
,,,,,
expert interface system,expert system,0.777724504,0.87,1,227
,,,,,
geographic information system,spatial data,0.390008479,0.03,1,228
,,,,,
spatial data,spatial data,1,1,1,229
,,,,,
gis,gis,1,1,1,230
,,,,,
photogrammetric model,photogrammetry,0.54740417,0.65,1,231
,,,,,
data structuring,spatial data,0.198340163,0.23,1,232
,,,,,
data preparation,spatial data,0.170561001,0.12,1,233
,,,,,
"['expert interface system', 'geographic information system', 'spatial data', 'gis', 'photogrammetric model', 'data structuring', 'data preparation']","['integration', 'spatial data', 'gis', 'expert system', 'photogrammetry']",N/A,0.32,1,236
,,,,,
evidence creation,digital evidence,0.196666837,0.43,1,235
,,,,,
vanet,witness,-0.099122055,0.02,1,236
,,,,,
evidence verification,digital evidence,0.276883245,0.43,1,237
,,,,,
evidence sharing,digital evidence,0.203449726,0.45,1,238
,,,,,
evidence based reasoning,digital evidence,0.12982595,0.23,1,239
,,,,,
"['evidence creation', 'vanet', 'evidence verification', 'evidence sharing', 'evidence based reasoning']","['driving behavior', 'witness', 'digital evidence', 'vehicular ad hoc networks']",N/A,0.03,1,240
,,,,,
type directed partial evaluation,type directed partial evaluation,1,1,1,241
,,,,,
typed lambda calculus with sums,typed lambda calculus,0.736259222,0.65,1,242
,,,,,
grothendieck logical relations,grothendieck logical relations,1.000000238,1,1,243
,,,,,
normal form,normalisation,0.194860667,0.24,1,244
,,,,,
eta long beta normal term,type directed partial evaluation,-0.103678539,0.01,1,245
,,,,,
"['type directed partial evaluation', 'typed lambda calculus with sums', 'grothendieck logical relations', 'normal form', 'eta long beta normal term']","['normalisation', 'type directed partial evaluation', 'typed lambda calculus', 'grothendieck logical relations', 'strong sums']",N/A,1,1,246
,,,,,
dbms,ssd,0.300548464,0.02,1,247
,,,,,
flash memory,flash memory,0.999999762,1,1,248
,,,,,
incremental logging,incremental logging,1,1,1,249
,,,,,
i o storage,database,0.09075553,0.01,1,250
,,,,,
write protection,write performance,0.321675956,0.4,1,251
,,,,,
"['dbms', 'flash memory', 'incremental logging', 'i o storage', 'write protection']","['flash memory', 'incremental logging', 'icl', 'ssd', 'write performance', 'database']",N/A,0.6,1,252
,,,,,
wrinkle development,wrinkling,0.422212005,0.5,1,253
,,,,,
mitc shell,mitc shells,0.891406775,1,1,254
,,,,,
wrinkling index,wrinkling index,0.999999762,1,1,255
,,,,,
pseudo dynamic,wrinkling index,0.075801693,0.05,1,256
,,,,,
sail structures,sail modelling,0.640990019,0.54,1,257
,,,,,
"['wrinkle development', 'mitc shell', 'wrinkling index', 'pseudo dynamic', 'sail structures']","['wrinkling', 'mitc shells', 'wrinkling index', 'sail modelling']",N/A,0.6,1,258
,,,,,
polytope,combinatorial problems,0.084878124,0.04,1,259
,,,,,
strong perfect graph,graph colorings,0.054734811,0.23,1,260
,,,,,
graph coloring,graph colorings,0.569440484,0.95,1,261
,,,,,
combinatorial problems,combinatorial problems,1,1,1,262
,,,,,
induced clique hole,combinatorial problems,-0.060226776,0.23,1,263
,,,,,
induced hole,combinatorial problems,-0.073259853,0.21,1,264
,,,,,
"['polytope', 'strong perfect graph', 'graph coloring', 'combinatorial problems', 'induced clique hole', 'induced hole']","['integer programming', 'graph colorings', 'combinatorial problems', 'facets of polyhedra']",N/A,0.4,1,265
,,,,,
pwarx identification,pwarx models,0.6273278,0.54,1,266
,,,,,
chiu's clustering algorithm,chiu 's clustering technique,0.776430666,0.67,1,267
,,,,,
affine sub model estimation,experimental validation,0.106220432,0.05,1,268
,,,,,
hyperplane partitions,hybrid systems,0.145710707,0.06,1,269
,,,,,
"['pwarx identification', ""chiu's clustering algorithm"", 'affine sub model estimation', 'hyperplane partitions']","['experimental validation', 'clustering', 'identification', 'hybrid systems', 'pwarx models', ""chiu 's clustering technique""]",N/A,0.65,1,270
,,,,,
approximation algorithm,approximation algorithm,1,1,1,271
,,,,,
traveling salesman problem,prize collecting traveling salesman,0.214333087,0.45,1,272
,,,,,
combinatorial optimization,approximation algorithm,0.291436791,0.02,1,273
,,,,,
primal dual method,primal dual algorithm,0.790506542,0.43,1,274
,,,,,
"['approximation algorithm', 'traveling salesman problem', 'combinatorial optimization', 'primal dual method']","['approximation algorithm', 'prize collecting traveling salesman', 'primal dual algorithm']",N/A,0.5,1,275
,,,,,
ambient intelligence,second order ambient intelligence,0.421279758,0.4,1,276
,,,,,
artificial intelligence,critique of ambient intelligence,0.227652296,0.23,15,277
,,,,,
artificial,temporal design,0.053984523,0.02,1,278
,,,,,
"['ambient intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial']","['second order ambient intelligence', 'critique of ambient intelligence', 'temporal design', 'adaptive systems', 'long term behavior', 'animal machine interaction', 'critical futurism']",N/A,1,0.34,279
,,,,,
pdms,pdms,1,1,1,280
,,,,,
prism glass,polymer,0.132615224,0.03,1,281
,,,,,
surface plasmon resonance,surface plasmon resolance,0.704297125,0.54,1,282
,,,,,
mems,pdms,0.193600237,0.02,1,283
,,,,,
kretschmann sensor,surface plasmon resolance,-0.01231089,0.21,1,284
,,,,,
"['pdms', 'prism glass', 'surface plasmon resonance', 'mems', 'kretschmann sensor']","['pdms', 'polymer', 'surface plasmon resolance', 'microfluidic']",N/A,0.54,1,285
,,,,,
isogeometric analysis,isogeometric analysis,0.999999762,1,1,286
,,,,,
strain field,strain field measurement,0.666944981,0.67,1,287
,,,,,
digital image correlation,digital image correlation,1,1,1,288
,,,,,
nurbs,nurbs,1,1,1,289
,,,,,
k refinement,digital image correlation,-0.060739525,0.23,1,290
,,,,,
fatigue tensile test,strain field measurement,0.309143722,0.21,1,291
,,,,,
non linear constitutive law identification,isogeometric analysis,0.158855766,0.01,1,292
,,,,,
"['isogeometric analysis', 'strain field', 'digital image correlation', 'nurbs', 'k refinement', 'fatigue tensile test', 'non linear constitutive law identification']","['isogeometric analysis', 'strain field measurement', 'digital image correlation', 'nurbs']",N/A,0.5,1,293
,,,,,
eulers equations,high order spectral methods,0.075345963,0.1,1,294
,,,,,
transformed field expansion,functional variations,0.098985292,0.02,1,295
,,,,,
collocation method,boundary perturbation methods,0.256841272,0.21,1,296
,,,,,
spectral methods,high order spectral methods,0.408052623,0.43,3,297
,,,,,
chebyshev polynomials,high order spectral methods,0.004004374,0.03,1,298
,,,,,
spectral collocation method,high order spectral methods,0.33748731,0.45,1,299
,,,,,
"['eulers equations', 'transformed field expansion', 'collocation method', 'spectral methods', 'chebyshev polynomials', 'spectral methods', 'spectral methods', 'spectral collocation method']","['functional variations', 'dirichletneumann operators', 'boundary perturbation methods', 'high order spectral methods', 'water waves']",N/A,0.34,1,300
,,,,,
tool selection,cutter selection,0.264961451,0.43,1,301
,,,,,
2.5 d milling,2.5 d milling,1,1,1,302
,,,,,
voronoi mountain,voronoi mountain,1,1,1,303
,,,,,
cutter selection,cutter selection,1.000000238,1,1,304
,,,,,
voronoi diagram,voronoi mountain,0.486302286,0.5,1,305
,,,,,
open edges,open edges,1,1,1,306
,,,,,
spline curves,solid modelling,0.181353152,0.03,1,307
,,,,,
"['tool selection', '2.5 d milling', 'voronoi mountain', 'cutter selection', 'voronoi diagram', 'open edges', 'spline curves']","['2.5 d milling', 'solid modelling', 'voronoi mountain', 'cutter selection', 'open edges']",N/A,0.78,1,308
,,,,,
novelty,novelty,1,1,1,309
,,,,,
text mining,knowledge hierarchy,0.167010397,0.23,1,310
,,,,,
lexical knowledge,knowledge hierarchy,0.21089305,0.21,1,311
,,,,,
wordnet,wordnet,1,1,1,312
,,,,,
discotex,wordnet,0.169091731,0.03,1,313
,,,,,
amazon.com,wordnet,0.083034009,0.03,1,314
,,,,,
rule novelty,interesting rules,0.225888968,0.32,1,315
,,,,,
