,Prediction,Target,Bert scores,Human scores,F1
95,"['model as a service', 'maas', 'web services', 'mashups', 'mashups', 'mashups', 'mashups', 'mashups', 'mashups']","['cloud computing', 'web service', 'geospatial data', 'model web', 'earthcube', 'big data']",0.11548730532328287,0.32,0.13333333333333333
97,shot change detection,shot change detection,1.0,1.0,1.0
99,optical flow,optical flow,1.0,1.0,1.0
101,brightness constraint,optical flow,0.093622759,0.05,0.0
103,video partitioning,video segmentation,0.7175222040000001,0.5,0.0
105,"['shot change detection', 'optical flow', 'brightness constraint', 'video partitioning']","['shot change detection', 'optical flow', 'video segmentation']",0.7764349154063633,0.7,0.5714285714285715
107,tail asymptotics,tail distributions,0.076435715,0.7,0.0
109,hol priority queues,priority queues,0.6796482209999999,0.7,0.0
111,long range dependent sources,large deviations,0.076983035,0.1,0.0
113,reduced service rate,cell loss,-0.028901633,0.1,0.0
115,m buffers,tail distributions,0.045683879000000004,0.07,0.0
117,source pooling,cell loss,0.16939438899999998,0.06,0.0
119,m buffer,large deviations,-0.055045135,0.1,0.0
121,"['tail asymptotics', 'hol priority queues', 'long range dependent sources', 'reduced service rate', 'm buffers', 'm buffers', 'm buffers', 'm buffers', 'source pooling', 'm buffer']","['priority queues', 'bahadur rao theorem', 'large deviations', 'cell loss', 'stationary processes', 'tail distributions']",0.08495602756738663,0.4,0.0
123,parallel,rectangle intersection,0.020992795,0.06,0.0
125,algorithm,computational geometry,0.219345137,0.3,0.0
127,multicore,multicore,1.0,1.0,1.0
129,systems,physical design,0.07535363,0.2,0.0
131,parallel algorithm,computational geometry,0.273464292,0.4,0.0
133,large scale,multicore,0.18746528,0.04,0.0
135,integrability,physical design,0.035184927000000005,0.3,0.0
137,physical design,physical design,0.9999997620000001,1.0,1.0
139,design,physical design,0.5236895079999999,0.5,0.0
141,challenge,physical design,0.023642427999999997,0.3,0.0
143,efficiency,plane sweep,-0.001163458,0.05,0.0
145,effect,physical design,0.04410198,0.3,0.0
147,implementation,physical design,0.230742067,0.4,0.0
149,intersection,rectangle intersection,0.366566151,0.5,0.0
151,computational geometry,computational geometry,1.0,1.0,1.0
153,component,physical design,0.089716986,0.43,0.0
155,extraction,physical design,0.09037525199999999,0.23,0.0
157,process,physical design,0.103304937,0.45,0.0
159,scalability,physical design,0.148516178,0.54,0.0
161,cluster,rectangle intersection,0.10168129199999999,0.21,0.0
163,"['parallel', 'algorithm', 'multicore', 'systems', 'parallel algorithm', 'large scale', 'integrability', 'physical design', 'design', 'challenge', 'efficiency', 'effect', 'implementation', 'intersection', 'computational geometry', 'component', 'extraction', 'process', 'scalability', 'cluster']","['plane sweep', 'multicore', 'physical design', 'rectangle intersection', 'computational geometry']",0.2723854474407376,0.6,0.24
165,perceptions,communication channels,0.079696052,0.32,0.0
167,information technology adoption,information technology adoption,1.0,1.0,1.0
169,innovation,personal innovativeness,0.32521534,0.43,0.0
171,technology acceptance model,information technology adoption,0.398006916,0.32,0.0
173,personal innovativeness,personal innovativeness,1.0,1.0,1.0
175,mass media,information technology adoption,0.193077311,0.65,0.0
177,interpersonal communication,communication channels,0.330776393,0.5,0.0
179,technology adoption models,information technology adoption,0.5271466370000001,0.43,0.0
181,technology adoption,information technology adoption,0.7420278790000001,0.66,0.0
183,"['perceptions', 'information technology adoption', 'innovation', 'technology acceptance model', 'personal innovativeness', 'mass media', 'interpersonal communication', 'technology adoption models', 'technology adoption models', 'technology adoption models', 'technology adoption models', 'technology adoption models', 'technology adoption models', 'technology adoption']","['information technology adoption', 'personal innovativeness', 'communication channels', 'expert system adoption']",0.45757070403874905,0.6,0.22222222222222224
185,classification,vector quantization,0.160870552,0.2,0.0
187,latent variable models,latent variable models,1.0,1.0,1.0
189,constraint optimization,vector quantization,0.153199807,0.04,0.0
191,support vector machines,support vector machines,1.0,1.0,1.0
193,principal component analysis,latent variable models,0.236819401,0.03,0.0
195,supervised learning,semi supervised learning,0.488184035,0.5,0.0
197,"['classification', 'latent variable models', 'constraint optimization', 'support vector machines', 'principal component analysis', 'supervised learning']","['latent variable models', 'support vector machines', 'semi supervised learning', 'pca', 'vector quantization', 'image and character recognition']",0.4146973391373952,0.3,0.3333333333333333
199,brain computer interface,braincomputer interface,0.7441307309999999,0.95,0.0
201,event related potentials,event related potentials,1.0,1.0,1.0
203,eeg,electroencephalography,-0.224909127,0.97,0.0
205,hex o,electroencephalography,-0.192539513,0.05,0.0
207,erp classification,classification,0.206323907,0.5,0.0
209,erp feature extraction,data collection,0.09421122800000001,0.1,0.0
211,erp classifier,classification,0.20970925699999998,0.5,0.0
213,"['brain computer interface', 'event related potentials', 'eeg', 'hex o', 'erp classification', 'erp feature extraction', 'erp classifier', 'erp classifier']","['event related potentials', 'data collection', 'classification', 'electroencephalography', 'braincomputer interface']",0.2683278047121488,0.7,0.15384615384615385
215,increasing failure rate,departure process,0.016101966000000002,0.1,0.0
217,erlang distribution,erlang distribution,1.0,1.0,1.0
219,e m e k <digit> queue,ph g <digit>,0.48714906,0.1,0.0
221,reversible change of measure,departure process,-0.0016855029999999999,0.02,0.0
223,"['increasing failure rate', 'erlang distribution', 'e m e k <digit> queue', 'reversible change of measure']","['ifr', 'erlang distribution', 'departure process', 'ph g <digit>', 'queueing theory']",0.33047756883833146,0.2,0.22222222222222224
225,down mixing,surround audio,0.003450584,0.03,0.0
227,quadraphonic headset,surround audio,0.24939532600000003,0.4,0.0
229,surround audio,surround audio,1.0,1.0,1.0
231,hrtf,reverberation,-0.24600872399999998,0.03,0.0
233,reverberator,reverberation,0.72494638,0.87,1.0
235,common acoustical pole and zero,virtual loudspeaker,-0.011288542,0.12,0.0
237,hrtf model,head related transfer function,-0.039560776,0.89,0.0
239,"['down mixing', 'quadraphonic headset', 'surround audio', 'hrtf', 'reverberator', 'common acoustical pole and zero', 'hrtf model']","['surround audio', 'head related transfer function', 'reverberation', 'virtual loudspeaker']",0.31362661448392,0.7,0.36363636363636365
241,security personalization,personalization,0.5583933000000001,0.5,0.0
243,personalization,personalization,0.9999997620000001,1.0,1.0
245,internet,internet services,0.37397980700000005,0.4,0.0
247,web services,web services,0.9999997620000001,1.0,1.0
249,policy,security policy,0.49399620299999997,0.4,0.0
251,e commerce security,security,0.27718600600000004,0.4,0.0
253,e security policy,security policy,0.667279243,0.8,0.0
255,"['security personalization', 'personalization', 'internet', 'web services', 'policy', 'e commerce security', 'e security policy', 'e security policy', 'e security policy', 'e security policy', 'e security policy', 'e security policy']","['security', 'personalization', 'web services', 'internet services', 'security policy', 'negotiation']",0.616077252510614,0.6,0.2222222222222222
257,gals,networks on chip,-0.09814401,0.04,0.0
259,asynchronous communication,asynchronous fifo,0.389716715,0.54,0.0
261,cmos,asynchronous fifo,0.006249265,0.04,0.0
263,asynchronous converter,asynchronous fifo,0.44947659999999995,0.5,0.0
265,"['gals', 'asynchronous communication', 'cmos', 'asynchronous converter']","['synchronization', 'networks on chip', 'globally asynchronous locally synchronous', 'multi processor systems on chip', 'asynchronous fifo']",0.09988368882073295,0.3,0.0
267,simulation,modeling and simulation of manufacturing systems,0.232770562,0.3,0.0
269,design,strategies for production systems design,0.166929513,0.3,0.0
271,organizational structures,modeling and simulation of manufacturing systems,0.153094888,0.4,0.0
273,manufacturing systems,modeling and simulation of manufacturing systems,0.392934978,0.4,0.0
275,structuring strategies,strategies for production systems design,0.191072524,0.2,0.0
277,forecasted order program,modeling and simulation of manufacturing systems,0.156593636,0.4,0.0
279,organization modeling system form,strategies for production systems design,0.327270031,0.1,0.0
281,"['simulation', 'design', 'organizational structures', 'manufacturing systems', 'structuring strategies', 'forecasted order program', 'organization modeling system form']","['modeling and simulation of manufacturing systems', 'strategies for production systems design']",0.0,0.3,0.0
283,selectors,applications,0.11007271699999999,0.03,0.0
285,pseudo random generators,randomization,0.193139941,0.5,0.0
287,deterministic protocols,randomization,0.049048305,0.03,0.0
289,test sets,test,0.332866967,0.67,0.0
291,coin weighting,randomization,-0.026321305,0.64,0.0
293,deterministic broadcasting,randomization,0.038339101,0.02,0.0
295,deterministic wake up,randomization,-0.049609434,0.01,0.0
297,"['selectors', 'pseudo random generators', 'deterministic protocols', 'test sets', 'coin weighting', 'deterministic broadcasting', 'deterministic wake up']","['applications', 'paper', 'object', 'randomization', 'optimality', 'direct', 'test', 'use']",0.0,0.4,0.0
299,torsional problems,torsion,0.457831055,0.43,0.0
301,h refinement,selective h refinement,0.353341192,0.54,0.0
303,a posteriori error estimates,finite elements,-0.05134489,0.03,0.0
305,maximum shearing stress,maximum shearing stress,1.0,1.0,1.0
307,selective refinement,selective h refinement,0.593480229,0.89,0.0
309,"['torsional problems', 'h refinement', 'a posteriori error estimates', 'maximum shearing stress', 'selective refinement']","['finite elements', 'torsion', 'membrane analogy', 'maximum shearing stress', 'selective h refinement']",0.41026225686073303,0.5,0.20000000000000004
311,rns,rsa cryptography,0.115343936,0.21,0.0
313,montgomery multiplication,montgomery multiplication,1.0,1.0,1.0
315,modular exponentiation,modular exponentiation,1.0,1.0,1.0
317,residue number system,residue number systems,0.9303525690000001,0.95,1.0
319,parallel processing,modular exponentiation,0.201987952,0.04,0.0
321,"['rns', 'montgomery multiplication', 'modular exponentiation', 'residue number system', 'parallel processing']","['montgomery multiplication', 'base transformation', 'modular exponentiation', 'residue number systems', 'rsa cryptography']",0.5860705137252807,0.89,0.6
323,quality in use,quality,0.21058039399999998,0.45,0.0
325,grounded design,design,0.266178817,0.45,0.0
327,context of use,value,-0.041329172000000004,0.03,0.0
329,design for value,design,0.270760149,0.34,0.0
331,design for the world,design,0.223085001,0.35,0.0
333,"['quality in use', 'grounded design', 'context of use', 'design for value', 'design for the world', 'design for the world', 'design for the world', 'design for the world', 'design for the world', 'design for the world', 'design for the world']","['quality', 'value', 'design', 'fit']",0.0,0.4,0.0
335,fugu rubripes,family <digit> gpcrs,0.034926131,0.1,0.0
337,pufferfish,duplicated genes,-0.016678043,0.1,0.0
339,gene,evolution,0.109953895,0.4,0.0
341,gpcr receptors,family <digit> gpcrs,0.11361321099999999,0.34,0.0
343,phylogeny,evolution,0.12301295300000001,0.2,0.0
345,"['fugu rubripes', 'pufferfish', 'gene', 'gpcr receptors', 'phylogeny']","['family <digit> gpcrs', 'teleost', 'duplicated genes', 'evolution']",0.0,0.3,0.0
347,blotto game,blotto game,1.0,1.0,1.0
349,subcarrier allocation,subcarrier allocation,1.0,1.0,1.0
351,ofdma,ofdma,1.0,1.0,1.0
353,budget allocation,subcarrier allocation,0.29921516800000003,0.4,0.0
355,competitive fairness,fairness,0.435252249,0.4,0.0
357,nash equilibrium,efficiency,0.06132843,0.04,0.0
359,power allocation,subcarrier allocation,0.267054617,0.4,0.0
361,"['blotto game', 'subcarrier allocation', 'ofdma', 'budget allocation', 'competitive fairness', 'nash equilibrium', 'power allocation']","['blotto game', 'complexity', 'fairness', 'subcarrier allocation', 'ofdma', 'efficiency', 'correlated fading']",0.490750321320125,0.6,0.42857142857142855
363,polymerization,dielectric properties,0.12436198400000001,0.23,0.0
365,dielectric properties,dielectric properties,1.0,1.0,1.0
367,curing agent,dielectric properties,0.039907627,0.02,0.0
369,loss factor,dielectric properties,-0.011148463999999999,0.03,0.0
371,unsaturated polymers,unsaturated polyester resin,0.658561349,0.56,0.0
373,"['polymerization', 'dielectric properties', 'curing agent', 'loss factor', 'unsaturated polymers']","['dielectric properties', 'unsaturated polyester resin', 'embedded capacitors']",0.414640337228775,0.5,0.25
375,online,online,0.9999997620000001,1.0,1.0
377,pseudo online,online,0.345483452,0.5,0.0
379,word recognition,word recognition,1.0,1.0,1.0
381,stroke order independent,word recognition,0.003052745,0.5,0.0
383,classification,classifier combination,0.368270695,0.4,0.0
385,eigenvalues,cursive,-0.006825667,0.2,0.0
387,"['online', 'pseudo online', 'word recognition', 'stroke order independent', 'classification', 'eigenvalues']","['online', 'cursive', 'word recognition', 'offline', 'handwriting', 'classifier combination']",0.3333332935969035,0.7,0.3333333333333333
389,quasi gaussian pulses,gaussian pulse,0.51616466,0.4,0.0
391,gaussian pulses,gaussian pulse,0.9155185220000001,0.95,1.0
393,spectral mask,spectral analysis,0.5817484860000001,0.5,0.0
395,gaussian pulse generation,gaussian pulse,0.7104609009999999,0.5,0.0
397,gaussian pulse correlation,gaussian pulse,0.6668815610000001,0.4,0.0
399,"['quasi gaussian pulses', 'gaussian pulses', 'spectral mask', 'gaussian pulse generation', 'gaussian pulse correlation']","['gaussian pulse', 'correlation techniques', 'digital signal processing', 'spectral analysis', 'ultra wideband']",0.4154542969724417,0.5,0.20000000000000004
401,semi definite programming,semi definite programming,0.9999997620000001,1.0,1.0
403,support vector machines,support vector machines,1.0,1.0,1.0
405,margin,margin,1.0,1.0,1.0
407,generalization bound,margin,-0.012996332,0.6,0.0
409,linear principal component analysis,principal component analysis,0.595280528,0.8,0.0
411,"['semi definite programming', 'support vector machines', 'margin', 'generalization bound', 'linear principal component analysis']","['semi definite programming', 'support vector machines', 'margin', 'robustness', 'principal component analysis', 'statistical learning theory', 'maximal margin algorithm']",0.5992133816083272,0.8,0.5
413,auditing,auditing tool,0.42962846200000004,0.6,0.0
415,umls,auditing of the umls,0.095266081,0.4,0.0
417,concept networks,auditing of ontologies,0.134640574,0.03,0.0
419,hybrid diagram text interface,hybrid diagram text user interface,0.8901801709999999,0.4,0.0
421,auditory interface,user interface,0.379751325,0.23,0.0
423,knowledge representation,user interface,-0.04611704900000001,0.1,0.0
425,"['auditing', 'umls', 'concept networks', 'hybrid diagram text interface', 'auditory interface', 'knowledge representation']","['auditing tool', 'software tool', 'unified medical language system', 'auditing of terminologies', 'auditing of ontologies', 'auditing of the umls', 'user interface', 'hybrid diagram text user interface']",0.1885440903050559,0.4,0.0
427,global optimization,global optimization,0.9999997620000001,1.0,1.0
429,cluster effect,cluster effect,0.9999997620000001,1.0,1.0
431,uniqueness tests,uniqueness test,0.916786551,0.95,1.0
433,krawczyk operator,krawczyk operator,1.0,1.0,1.0
435,k d tree,krawczyk operator,0.10062851,0.2,0.0
437,k,krawczyk operator,0.104316853,0.12,0.0
439,"['global optimization', 'cluster effect', 'uniqueness tests', 'krawczyk operator', 'k d tree', 'k d tree', 'k d tree', 'k d tree', 'k d tree', 'k']","['exclusion region', 'branch and bound', 'global optimization', 'cluster effect', 'uniqueness test', 'krawczyk operator', 'validated enclosure', 'existence test', 'inclusion region', 'kantorovich theorem', 'backboxing', 'affine invariant', 'primary 65h20', '65g30']",0.3263988395531972,0.4,0.3333333333333333
441,meetings,analysis of meetings,0.22151626600000002,0.43,0.0
443,social signals,persuasive words,0.147745624,0.32,0.0
445,social dialogue acts,persuasive words,0.06273073,0.23,0.0
447,persuasive words,persuasive words,1.0,1.0,1.0
449,cscw,persuasive words,-0.19862358300000002,0.21,0.0
451,"['meetings', 'social signals', 'social dialogue acts', 'persuasive words', 'cscw', 'cscw', 'cscw', 'cscw', 'cscw', 'cscw']","['persuasive words', 'analysis of meetings', 'applications of machine learning']",0.15384615384615383,1.0,0.15384615384615383
453,expert interface system,expert system,0.777724504,0.87,0.0
455,geographic information system,spatial data,0.39000847899999996,0.03,0.0
457,spatial data,spatial data,1.0,1.0,1.0
459,gis,gis,1.0,1.0,1.0
461,photogrammetric model,photogrammetry,0.54740417,0.65,0.0
463,data structuring,spatial data,0.198340163,0.23,0.0
465,data preparation,spatial data,0.17056100100000002,0.12,0.0
467,"['expert interface system', 'geographic information system', 'spatial data', 'gis', 'photogrammetric model', 'data structuring', 'data preparation']","['integration', 'spatial data', 'gis', 'expert system', 'photogrammetry']",0.5541881124178569,0.32,0.3333333333333333
469,evidence creation,digital evidence,0.19666683699999998,0.43,0.0
471,vanet,witness,-0.099122055,0.02,0.0
473,evidence verification,digital evidence,0.276883245,0.43,0.0
475,evidence sharing,digital evidence,0.20344972600000003,0.45,0.0
477,evidence based reasoning,digital evidence,0.12982595,0.23,0.0
479,"['evidence creation', 'vanet', 'evidence verification', 'evidence sharing', 'evidence based reasoning']","['driving behavior', 'witness', 'digital evidence', 'vehicular ad hoc networks']",0.0,0.03,0.0
481,type directed partial evaluation,type directed partial evaluation,1.0,1.0,1.0
483,typed lambda calculus with sums,typed lambda calculus,0.736259222,0.65,0.0
485,grothendieck logical relations,grothendieck logical relations,1.000000238,1.0,1.0
487,normal form,normalisation,0.194860667,0.24,0.0
489,eta long beta normal term,type directed partial evaluation,-0.103678539,0.01,0.0
491,"['type directed partial evaluation', 'typed lambda calculus with sums', 'grothendieck logical relations', 'normal form', 'eta long beta normal term']","['normalisation', 'type directed partial evaluation', 'typed lambda calculus', 'grothendieck logical relations', 'strong sums']",0.5472518920898437,1.0,0.4000000000000001
493,dbms,ssd,0.30054846399999996,0.02,0.0
495,flash memory,flash memory,0.9999997620000001,1.0,1.0
497,incremental logging,incremental logging,1.0,1.0,1.0
499,i o storage,database,0.09075553,0.01,0.0
501,write protection,write performance,0.32167595600000004,0.4,0.0
503,"['dbms', 'flash memory', 'incremental logging', 'i o storage', 'write protection']","['flash memory', 'incremental logging', 'icl', 'ssd', 'write performance', 'database']",0.3636363202875311,0.6,0.3636363636363636
505,wrinkle development,wrinkling,0.422212005,0.5,0.0
507,mitc shell,mitc shells,0.891406775,1.0,1.0
509,wrinkling index,wrinkling index,0.9999997620000001,1.0,1.0
511,pseudo dynamic,wrinkling index,0.075801693,0.05,0.0
513,sail structures,sail modelling,0.640990019,0.54,0.0
515,"['wrinkle development', 'mitc shell', 'wrinkling index', 'pseudo dynamic', 'sail structures']","['wrinkling', 'mitc shells', 'wrinkling index', 'sail modelling']",0.6772106964484546,0.6,0.4444444444444445
517,polytope,combinatorial problems,0.084878124,0.04,0.0
519,strong perfect graph,graph colorings,0.054734810999999994,0.23,0.0
521,graph coloring,graph colorings,0.569440484,0.95,1.0
523,combinatorial problems,combinatorial problems,1.0,1.0,1.0
525,induced clique hole,combinatorial problems,-0.060226775999999996,0.23,0.0
527,induced hole,combinatorial problems,-0.073259853,0.21,0.0
529,"['polytope', 'strong perfect graph', 'graph coloring', 'combinatorial problems', 'induced clique hole', 'induced hole']","['integer programming', 'graph colorings', 'combinatorial problems', 'facets of polyhedra']",0.3138880968093872,0.4,0.4
531,pwarx identification,pwarx models,0.6273278,0.54,0.0
533,chiu's clustering algorithm,chiu 's clustering technique,0.776430666,0.67,0.0
535,affine sub model estimation,experimental validation,0.10622043199999999,0.05,0.0
537,hyperplane partitions,hybrid systems,0.145710707,0.06,0.0
539,"['pwarx identification', ""chiu's clustering algorithm"", 'affine sub model estimation', 'hyperplane partitions']","['experimental validation', 'clustering', 'identification', 'hybrid systems', 'pwarx models', ""chiu 's clustering technique""]",0.28075169324874877,0.65,0.0
541,approximation algorithm,approximation algorithm,1.0,1.0,1.0
543,traveling salesman problem,prize collecting traveling salesman,0.214333087,0.45,0.0
545,combinatorial optimization,approximation algorithm,0.29143679100000003,0.02,0.0
547,primal dual method,primal dual algorithm,0.790506542,0.43,0.0
549,"['approximation algorithm', 'traveling salesman problem', 'combinatorial optimization', 'primal dual method']","['approximation algorithm', 'prize collecting traveling salesman', 'primal dual algorithm']",0.5115732976368496,0.5,0.28571428571428575
551,ambient intelligence,second order ambient intelligence,0.42127975799999995,0.4,0.0
553,artificial intelligence,critique of ambient intelligence,0.227652296,0.23,0.0
555,artificial,temporal design,0.053984523,0.02,0.0
557,"['ambient intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial intelligence', 'artificial']","['second order ambient intelligence', 'critique of ambient intelligence', 'temporal design', 'adaptive systems', 'long term behavior', 'animal machine interaction', 'critical futurism']",0.03510664651791255,1.0,0.0
559,pdms,pdms,1.0,1.0,1.0
561,prism glass,polymer,0.132615224,0.03,0.0
563,surface plasmon resonance,surface plasmon resolance,0.704297125,0.54,0.0
565,mems,pdms,0.19360023699999998,0.02,0.0
567,kretschmann sensor,surface plasmon resolance,-0.01231089,0.21,0.0
569,"['pdms', 'prism glass', 'surface plasmon resonance', 'mems', 'kretschmann sensor']","['pdms', 'polymer', 'surface plasmon resolance', 'microfluidic']",0.3787326945198907,0.54,0.22222222222222224
571,isogeometric analysis,isogeometric analysis,0.9999997620000001,1.0,1.0
573,strain field,strain field measurement,0.666944981,0.67,0.0
575,digital image correlation,digital image correlation,1.0,1.0,1.0
577,nurbs,nurbs,1.0,1.0,1.0
579,k refinement,digital image correlation,-0.060739525,0.23,0.0
581,fatigue tensile test,strain field measurement,0.309143722,0.21,0.0
583,non linear constitutive law identification,isogeometric analysis,0.158855766,0.01,0.0
585,"['isogeometric analysis', 'strain field', 'digital image correlation', 'nurbs', 'k refinement', 'fatigue tensile test', 'non linear constitutive law identification']","['isogeometric analysis', 'strain field measurement', 'digital image correlation', 'nurbs']",0.666717225855047,0.5,0.5454545454545454
587,eulers equations,high order spectral methods,0.075345963,0.1,0.0
589,transformed field expansion,functional variations,0.09898529199999999,0.02,0.0
591,collocation method,boundary perturbation methods,0.256841272,0.21,0.0
593,spectral methods,high order spectral methods,0.40805262299999995,0.43,0.0
595,chebyshev polynomials,high order spectral methods,0.004004374000000001,0.03,0.0
597,spectral collocation method,high order spectral methods,0.33748731,0.45,0.0
599,"['eulers equations', 'transformed field expansion', 'collocation method', 'spectral methods', 'chebyshev polynomials', 'spectral methods', 'spectral methods', 'spectral collocation method']","['functional variations', 'dirichletneumann operators', 'boundary perturbation methods', 'high order spectral methods', 'water waves']",0.10644851041876752,0.34,0.0
601,tool selection,cutter selection,0.264961451,0.43,0.0
603,2.5 d milling,2.5 d milling,1.0,1.0,1.0
605,voronoi mountain,voronoi mountain,1.0,1.0,1.0
607,cutter selection,cutter selection,1.000000238,1.0,1.0
609,voronoi diagram,voronoi mountain,0.48630228600000003,0.5,0.0
611,open edges,open edges,1.0,1.0,1.0
613,spline curves,solid modelling,0.181353152,0.03,0.0
615,"['tool selection', '2.5 d milling', 'voronoi mountain', 'cutter selection', 'voronoi diagram', 'open edges', 'spline curves']","['2.5 d milling', 'solid modelling', 'voronoi mountain', 'cutter selection', 'open edges']",0.71166656089662,0.78,0.6666666666666666
617,novelty,novelty,1.0,1.0,1.0
619,text mining,knowledge hierarchy,0.167010397,0.23,0.0
621,lexical knowledge,knowledge hierarchy,0.21089305,0.21,0.0
623,wordnet,wordnet,1.0,1.0,1.0
625,discotex,wordnet,0.16909173100000002,0.03,0.0
627,amazon.com,wordnet,0.083034009,0.03,0.0
629,rule novelty,interesting rules,0.225888968,0.32,0.0
631,"['novelty', 'text mining', 'lexical knowledge', 'wordnet', 'discotex', 'amazon.com', 'rule novelty']","['novelty', 'wordnet', 'semantic distance', 'knowledge hierarchy', 'interesting rules']",0.3333333333333333,0.23,0.3333333333333333
633,independence systems,independence system,0.8106265659999999,0.95,1.0
635,optimization,combinatorial optimization,0.354496181,0.5,0.0
637,algorithms,combinatorial optimization,0.159207016,0.02,0.0
639,design,independence system,0.09801437,0.32,0.0
641,performance,independence system,0.052434642000000004,0.21,0.0
643,theory,combinatorial optimization,0.071025617,0.1,0.0
645,np completeness,combinatorial optimization,-0.093284547,0.03,0.0
647,visor optimization,combinatorial optimization,0.317645818,0.54,0.0
649,"['independence systems', 'optimization', 'algorithms', 'design', 'performance', 'theory', 'visor optimization', 'np completeness', 'np completeness', 'visor optimization', 'visor optimization', 'visor optimization', 'visor optimization', 'visor optimization']","['independence system', 'maximal independent set', 'combinatorial optimization', 'input output selection']",0.09006961849000719,0.34,0.11111111111111112
651,superconvergence,superconvergence,1.0,1.0,1.0
653,high order,elliptic equations of second order,0.001610001,0.21,0.0
655,galerkin finite element method,elliptic equations of second order,-0.017493343,0.02,0.0
