Keyphrase,Ground Truth,Score

polynomial time algorithm,feedback vertex set
way below relation,s2 s <digit> continuous poset s2 s <digit> s2 s <digit> s <digit>

completely regular,s2 s <digit> quasicontinuous poset s2 s <digit> s2 s <digit> s <digit>

end of document

np,kolmogorov complexity

p np,kolmogorov complexity

end of document

hybrid graph model,spectral clustering

superpixel,segmentation

end of document

structural elements,membrane

end of document

end of document

high k,silicon oxide

pbti characterization,silicon oxide

end of document

end of document

hermite interpolation,complex representation

ph cuts of laurent series,ph skew cut

end of document

end of document

hill climbing,hierarchical control

if and only if problem,transposition

end of document

medical symptom phrases,information extraction

end of document

end of document

reliability,performance

end of document

median cut,reflective sphere

level of details,shadow generation

shadow softening,shadow generation

end of document

quantum well,coupling efficiency

end of document

rerouting,fault tolerance

end of document

multilingual ontology,ontology

cross language information retrieval,semantic similarity

end of document

end of document

causality prediction,topological similarity

end of document

r package,beta regression

r beta tree,beta regression

end of document

morphological clique,combinatorial optimization

multi criteria decision,combinatorial optimization

end of document

random polynomial factorization,random riemann surface

end of document

voting scheme,classifier combination

feature extraction,classifier combination

end of document

wald statistic,gmm

lagrange multiplier statistic,mixing

distance statistic,mixing

end of document

multi relay,cooperative diversity

cooperation selection,relay selection

end of document

video indexing,shot change detection

end of document

supra segmental features,emotional speech transformation

end of document

collage of words,regular languages

end of document

trust,roi

publish subscribe,roi

end of document

voting,friendship relations

synchronization,friendship relations

e news,social media website

end of document

end of document

ezpal,knowledge acquisition

axioms,knowledge acquisition

ontology,knowledge representation

end of document

end of document

end of document

end of document

end of document

primarily print,libraries

e learning,digital libraries

end of document

cytokines,novel therapies

homing,multiple myeloma

angiogenesis,bone marrow microenvironment

mri,multiple myeloma

end of document

backlog analysis,network service curve

end of document

multi field variational principle,meshfree methods

huwashizu principle,locking

end of document

dialectic theory,argumentation schemes

end of document

highlight conjecture,tree graphs

lulu filtering,digital filters

end of document

end of document

verification and validation indices,validation index

end of document

end of document

slope parameter,error variance

sensitivity analysis,measurement errors

end of document

exact solution,variational iteration method

boundary condition,heat equation

end of document

neighborhood search,scheduling

local search,scheduling

end of document

circuits,inductive interconnect

effect,inductive interconnect

paper,inductive interconnect

transit,inductive interconnect

timing,inductive interconnect

errors,transient power dissipation

end of document

rungekutta scheme,76h05

navierstokes equations,76h05

cfl number,76h05

roe scheme,76h05

cusp scheme,76h05

turbulence,76h05

end of document

staller start,domination game

comb,realizations

05c15,realizations

05c85,realizations

end of document

point splatting,surface fitting

end of document

sequence analysis,gene prediction

genetic structure analysis,gene prediction

end of document

tcp,multiple interface

pnea,local domain

end of document

output query,instance equivalent queries

utility,instance equivalent queries

end of document

semiempirical molecular orbital method,quantum chemical calculations

end of document

global illumination,task parallelism

sb pram,scalability

parallel computing,task parallelism

end of document

end of document

end of document

end of document

end of document

image processing,neural network

end of document

arithmetic coding,rate control

end of document

hysteroromy,uterine myoma

enucleation,laparotomy

suturing,laparotomy

extraction,laparotomy

uterus sut,fertility

end of document

antioxidant,dft

electron transfer,sequential proton loss electron transfer

end of document

event based programming,distributed

event based software,distributed

end of document

cocoa,pedals

mathematica,symbolic computing

end of document

end of document

ternary description language,axioms

axiomatic system,syntactical priority

end of document

end of document

ear tag,electronic eartag

end of document

end of document

sensor fusion,privacy protection

end of document

error resilience,approximate authentication

end of document

java,distributed resources

end of document

competitive analysis of algorithms,warehouse management

end of document

end of document

parity games,tree width

buchi automata,tree width

alternating automata,tree width

end of document

product line selection and pricing,pricing

branch and bound,heuristics

operations,heuristics

end of document

air vehicle,vibrations

end of document

concept mapping,work flow effects

physician satisfaction,work flow effects

end of document

extrapolation boundary,stent

end of document

coherence,simplification rules

boolean formulas,probabilistic satisfiability

np complete problems,probabilistic satisfiability

end of document

asynchronous broadcast,distributed greedy algorithm

end of document

undesirable output,resource cities

malmquist resource performance index,resource cities

end of document

swarm intelligence,ant colony optimization

end of document

end of document

augmentation,global illumination

camera image,global illumination

shadow maps,augmented image synthesis

end of document

snp,local alignment

end of document

timing behaviour,scalar property

end of document

libsvm,regression

bias variance decomposition,regression

svm benchmarking,regression

end of document

cascade,pda

mobile,pda

end of document

rewriting,term rewriting

first order logic,term rewriting

real closed fields,polynomial orderings

tarski's logic,polynomial orderings

end of document

time correlation law,coherent energy

spectral analysis,coherent energy

end of document

end of document

terrorism,intelligent analysis

end of document

lyapunov stability,gradient descent

end of document

data integrity,recruit distribution

marine personnel management,recruit distribution

end of document

homogenization,lattice boltzmann methods

end of document

end of document

separator,polyhedra

complexity,optimization

graph algorithms,approximation algorithms

k ) free graphs,polyhedra

end of document

z isomers,antioxidants

pcm,antioxidants

reactivity,antioxidants

df,antioxidants

end of document

design practice,aesthetics

end of document

multi agent systems,agent technologies

end of document

weighted dissimilarity,fuzzy numbers

end of document

end of document

binding,switching activity

lagrange multipliers,bound estimation

resource sharing,power estimation

scheduling algorithms,switching activity

end of document

end of document

end of document

visual input hci,hci

end of document

common sense,developing country

wsn deployment,wireless sensor network

end of document

euler equations,stefan problem

end of document

macwilliams identities,binomial moments

end of document

end of document

artificial environments,multimodal interactions

neurocognitive development,verbal nonverbal development

natural environments,multimodal interactions

neuroplasticity,positive emotion

neuronal organization and reorganization,multimodal interactions

end of document

symmetric iv i v curve,iv i v curve iv i v iv i v i v

atk package,symmetry

end of document

fuzzy reliability,nonlinear programming

repairable industrial system,flt technique

fuzzy c means clustering,genetic algorithm

end of document

magnetism,dysprosium

end of document

nonlinear optimization,economic dispatch

end of document

spectral methods,compact finite differences

unsteady flow,incompressible navier stokes

end of document

end of document

mathematical model,immune system

end of document

fast and slow dynamics of stiff systems,invariant manifolds

end of document

adaptive comb filter,comb filter

notch gain,comb filter

lms algorithm,adaptive algorithm

end of document

usability,heuristic usability evaluation

telehealth,telemedicine

e health,telemedicine

end of document

conditionally contractive,banach lattice

end of document

dig35,multimedia standards

metadata management,personal content management

end of document

end of document

turbulence,physical modelling

ground level concentration,concentration profiles

end of document

user profile,personalization

query expansion,summarization

personalized search results,search engine

end of document

diffusion limited aggregation,aggregation

fractal growth,brownian motion

frac,dla

end of document

cognitive skill models,spoken dialog

end of document

end of document

bit parallel,random walks

randomized algorithm,random walks

end of document

end of document

end of document

end of document

stone vector lattice,computable analysis

end of document

technology acceptance model,adoptions

trust model,adoptions

end of document

superscalar,low power

end of document

end of document

addressing,coupled noise

computation,timing optimization

reduction,timing optimization

layout,timing optimization

paper,coupled noise

express,coupled noise

topologies,signal integrity

input,coupled noise

errors,coupled noise

order,coupled noise

optimality,timing optimization

end of document

energy efficient,server consolidation

end of document

plasmonic condition,tapered profiles

end of document

end of document

stateful decryption,leakage resilient cryptography

94a60,cryptography

68p25,cryptography

end of document

repetitive character behaviour,character segmentation

image interpolation,interpolation

image restoration,character segmentation

end of document

endothelial cells,inflammation

vascular smooth muscle cells,inflammation

end of document

etch rate,surface roughness

end of document

transcoding proxy,streaming media distribution

video object profit function,streaming media distribution

end of document

requirements refinement,software engineering

end of document

gravity,consolidation

deformation,consolidation

end of document

communication structure,collective action

end of document

consort,checklists

end of document

software testing,testing

software maintenance,testing

end of document

logit model,adaptive algorithm

non informative priors,adaptive algorithm

end of document

end of document

derivative,schwartz distribution

end of document

informal,internet

behavioral,internet

economics,internet

computation,internet

linking,internet

distributed,internet

data,information infrastructure

sorting,internet

applications,internet

high performance computing,artificial intelligence

cognition,internet

computational,internet

end of document

planning,gis

online systems,web

end of document

fuzzy sets,quantitative imaging

neural networks,evolutionary algorithms

rough sets,quantitative imaging

selection,segmentation

swarm intelligence based decision making,evolutionary algorithms

end of document

domain decomposition,parallel particle tracking

end of document

gaussian elimination,minimal triangulation

end of document

digital services,e government

end of document

incremental redundancy,mimo system

v blast,mimo system

forward error correction,mimo system

automatic repeat request,mimo system

adaptive code selection,hybrid fec arq scheme

end of document

averaging lateration,lateration

mixture of gaussians,robust averaging

cramrrao lower bound,robust estimator

trimmed mean robust averager,robust estimator

end of document

spatially correlated noise,turbo code

cramer rao bound,expectation maximization

end of document

dataflow,parameter exploration

scalability,parameter exploration

s,kepler

end of document

communities,group context

applications,context

interfaces,context

developer,context

informal,context

computation,group context

goals,context

change,group context

end of document

autonomy,cooperation

guaranties,trust

resemblance,trust

end of document

playful aspects,gamification

learning strategies,gamification

ui design,ubiquitous learning

end of document

end of document

association rules,clustering analysis

end of document

end of document

middleware,software architectures

cfs,coordination language

end of document

end of document

his monitor,questionnaire

feasibility study,evaluation

end of document

channel estimation,recursive kalman

ofdm,recursive kalman

doubly selective channel,recursive kalman

end of document

e commerce,web services

end of document

energy measurement,energy efficiency

end of document

dna,cancer

sacii,cancer

nari,cancer

end of document

end of document

liou wang index,integral value

end of document

continuous time markov chain,admission control algorithm

end of document

randomized diffusion,random walk

indivisible loads,random walk

end of document

end of document

preference,inconsistency indices

end of document

sensitivity,queueing

optimum policy,pricing

end of document

p2p systems,resource discovery

multi dimensional structure,self organizing

mobile agents,self organizing

end of document

ubiquitous,self organized traffic

scalability,self organized traffic

cost effectiveness,self organized traffic

ivc,traffic lights

end of document

end of document

regression model,neural network

end of document

evolutionary algorithm,simulated annealing

economic dispatch,distributed generation

end of document

distributed measurement instrument,ethernet network

fpga,ethernet network

pc based monitor station,ethernet network

iec <digit>,ethernet network

ie,ethernet network

end of document

optimality,flow

end of document

deterministic de prefix,ds cdma

end of document

end of document

motion picture experts group,queue

interfering traffic,batch arrival

end of document

shape area,fractal dimension

end of document

dynamic optimization,sleep scheduling

particle swarm optimization,adaptive critic design

end of document

linearity,recursion

language,recursion

strategies,recursion

end of document

end of document

belief hierarchy,belief change

uncertainty,focusing

end of document

shortest path,two commodity

linear programming reformulation,integer optima

end of document

super polynomial savings,negation limited circuits

end of document

end of document

logging trucks,forestry

transportation,forestry

end of document

difficulty,balancing

a line balancing package,balancing

end of document

ensemble learning,feature selection

end of document

end of document

theory,formal specification and verification

end of document

multimedia documents,spatiotemporal operators

adapted query languages,spatiotemporal operators

end of document

input,tilt input

control,tilt input

human,tilt input

pen,tilt input

posit,tilt input

experimentation,target selection tasks

timing,pressure input

errors,tilt input

design,target selection tasks

guideline,pressure input

end of document

clinical ordering,cognitive evaluation

humancomputer interaction,distributed cognition

end of document

multiscale,moving mesh

matrix cracking,interface debonding

optimization,crack propagation

end of document

online behavior,infertility

social support,stress

end of document

software implementation,implementation procedures

end of document

hazard,flooding

gis,flooding

euclidean distance,scaling relationships

end of document

end of document

periodic load,reactors control

end of document

ultrasound,soft thresholding

generalised gaussian distributed,median filter

end of document

computer based imaging,minimally invasive therapy

segmentation,neurosurgery

registration,neurosurgery

instrument tracking,image guidance

multimodal imaging,interventional mri

mri based image guided surgery,image guidance

end of document

dynamic response,porous media

end of document

end of document

cscl,facebook

end of document

end of document

microarray data analysis,gene expression

end of document

d dimensional systems,multidimensional cellular automata

end of document

security gateway,web services

end of document

genetic algorithm,scheduling

local search,scheduling

end of document

tree seed algorithm,multilevel thresholding

tsa method,multilevel thresholding

swarm intelligence,heuristic search

end of document

end of document

end of document

irreducible,minimality

end of document

user experience,trust

user perceptions,trust

user interface design,diary study

end of document

arc disjoint branching flows,branching flow

spanning out trees,disjoint branchings

end of document

end of document

rhodamine,waveguide

end of document

lyosol,graphene

goniometer,light scattering measurement

end of document

active learning,live programming environments

pedagogical systems,live programming environments

end of document

density interface,gravity anomaly

tucson basin,gravity anomaly

end of document

graph based reconstruction,graph cuts

end of document

usability,heuristics

end of document

security,dependability

end of document

ieee 802.15.4,wireless sensor networks

back off,lr wpans

node lifetime,wireless sensor networks

end of document

presence,navigation models

end of document

forming processes,sliding contact

atomic kinetic energy,atomic scale

end of document

ica,nu spherical distributions

isa,symmetric distribution

l p sp,nu spherical distributions

end of document

data delivery,mobile agents

end of document

walker lake data set,successive residuals

end of document

end of document

matrix analytic method,stochastic decomposition

end of document

model management,query language

end of document

electronic commerce,agent mediated electronic commerce

end of document

constitutive model,initial densities

loadingcollapse volume,initial densities

density effect,unsaturated soils

end of document

end of document

end of document

euler equations,bilinear interpolation

end of document

end of document

robust optimal control,learning control

critic signal,learning control

end of document

simasp,web service

end of document

dimensionality reduction,feature extraction

nave bayes classifier,supervised learning

nonparametric,supervised learning

end of document

surface models,active contours

image segmentation,topology preservation

end of document

parameterized surfaces,geodesics

registration,parameterization invariance

end of document

variable coefficient,homotopy perturbation method

end of document

05b25,60g57

05c35,60g57

end of document

unified learner profile,learning styles

end of document

sms,tv quizzes

human hosted,ethnography

end of document

artificial channel,ofdm

end of document

automobile tire,pneumatic tires

large displacements,pneumatic tires

frictional ground contact,pneumatic tires

end of document

maximum power point tracking,photovoltaic cells

unmanned air vehicle,uav

pwm,uav

end of document

end of document

baire matrices,baire space

baire,baire space

end of document

excel,axon

end of document

trabecular bone,osteoclast

osteoclasts,osteocytes

osteoporosis,osteoclast

hydroxyapatite,osteocytes

spongy bone,osteocytes

kinetic model,mineralisation

end of document

robustness,image watermarking

end of document

outer product of gradients,dimension reduction

end of document

end of document

radar,image fusion

gaussian rayleigh mixture distribution,fuzzy logic

polarimetric data,image fusion

multi view data,image fusion

end of document

turing machines,satisfiability

boolean circuits,satisfiability

sat problems,satisfiability

end of document

codomain,cuts

end of document

mapk,cardiac hypertrophy

jak stat,cardiac myocytes

pkc,cardiac myocytes

calcineurin,cardiac myocytes

ion channels,cardiac myocytes

end of document

end of document

end of document

hierarchical structure,fuzzy labels

boolean query,relational database

end of document

end of document

ray caster,webgl

texture slicer,webgl

gpu computing,gpu

end of document

inversion measure,constant factors

randomized algorithms,priority queues

worst case analysis,priority queues

end of document

94b05,greedy codes

94b25,greedy codes

end of document

simulation,state forecasting

eps,maintenance management

end of document

collaboration,compliance

end of document

precision agriculture,automatic guidance

end of document

virulence factors,inhibitor

regulatory networks,boolean network

end of document

fuzzy bitopological space,alpha level bitopological spaces

fuzzy topology,strong fuzzy pairwise separation axioms

end of document

end of document

end of document

directed network of data blocks,forward network

pls regression,linear regression

score loading vector,forward network

re sampling,pls

pca and pls regression,linear regression

end of document

joint processing,channel equalizer

end of document

end of document

end of document

end of document

intelligent learning diagnosis system,fuzzy expert system

thematic learning model,learning diagnosis

knowledge integration,web based learning

end of document

end of document

lumbar spine,computed tomography

end of document

boolean function,lattice

boole,farey sequence

end of document

spurious pressure modes,mixed finite elements

bdfm1 element pairs,stability

p1dg element pairs,stability

r,stability

end of document

quasi floating gate,direct conversion receivers

settling time,dc offset

cmos receiver chain,direct conversion receivers

end of document

experience evaluation,rule experience

pattern association,rule experience

pattern recognition,classifier systems

mobile robot,reinforcement policy

end of document

design guidelines,perceptual style

end of document

end of document

end of document

doe,assembly precedence diagrams

heuristics,assembly precedence diagrams

kbe,neural networks

assembly constraints,assembly precedence diagrams

end of document

end of document

tunneling behavior,offset voltage

end of document

chemistry,centrality

end of document

end of document

nonstationary signals,time varying filtering

low snr environment,time varying filtering

end of document

quadrupedal locomotion,rhythmic motion

end of document

trust region method,filter

end of document

ls optimization,multilinear pls

end of document

morphological operator,feature extraction

erosion,symmetry transforms

end of document

local refinement,projection method

orography,gravity waves

end of document

motion blur,motion compensated reconstruction

end of document

optimisation,environment

end of document

unsupervised construction,optimal experimental design

end of document

nodule registration,pulmonary nodule registration

ct image,computed tomography

end of document

lego nxt,social robot

topobo,robotics

learning disabilities,educational technology

end of document

end of document

divisor,digit recurrence division

partial remainder,quotient digit selection

redundant divider,digit selector pla

digit selection,quotient digit selection

end of document

wrist posture,posture

image analysis,posture

end of document

end of document

fuzzy less strong semicontinuity,fuzzy topology

end of document

faulty key,block ciphers

end of document

graph,unigraphs

algorithm,frequency assignment

l labeling,frequency assignment

end of document

ground control station,route creation validation algorithms

unmanned aerial system,route creation validation algorithms

autonomous replanning,route creation validation algorithms

end of document

automatic differentiation,algorithms

frechet derivatives,object oriented matlab

nonlinear bvps,algorithms

end of document

end of document

predatorprey system,dispersion

coincidence degree,time delay

end of document

eavesdropping attack,security

end of document

orthogonal,package

prism,package

fem,package

end of document

jealousy,networks

self esteem,psychological factors

end of document

pairwise distance,nonlinear dimensionality reduction

manifold learning,nonlinear dimensionality reduction

end of document

end of document

contract,outsourcing

software engineering,outsourcing

software process,outsourcing

end of document

saccule,prefrontal

vep,human

thalamus,prefrontal

otolith,prefrontal

o,human

end of document

end of document

reanalysis,sensitivity reanalysis

structural optimization,efficient reanalysis

repeated analysis,combined approximations

end of document

online learning environment,e learning

online certification,self learning

end of document

seam computation,interactive image boundaries

image mosaic,interactive image boundaries

image processing,interactive image boundaries

end of document

service abstraction,abstraction recovery

service discovery,abstraction recovery

end of document

model adaptation,speaker adaptation

end of document

chebyshev polynomials,spectral collocation methods

end of document

end of document

allocation,fragmentation

reallocation,fragmentation

dynamic allocation,fragmentation

end of document

workflow,cpoe

intervention,cpoe

end of document

collocation matrix,axisymmetric problems

end of document

bayesian inference,mixture distribution

mcmc,markov chain monte carlo

end of document

replica exchange,namd

end of document

end of document

statpack,emergencies

end of document

column generation,balanced matrices

co occurrence graphs,cnf formulas

end of document

end of document

recursive least squares,ordered successive interference cancelation

dichotomous coordinate descent,mimo systems

end of document

orthogonal frequency division multiplexing,interleavers

end of document

coupled navierstokes and darcy system,two phase flow

end of document

multilayer perceptron,extreme learning machine

reduced reference model,circular backpropagation

end of document

batch sequencing,scheduling

dynamic batch sizing,scheduling

end of document

loss of precision,neumann series

end of document

ieee 802.11,wireless sensor network

802.15.4,radio over fiber

end of document

end of document

distributed data centers,scheduling heuristics

multi objective optimization,scheduling heuristics

end of document

engineering intent,collaborative engineering

end of document

end of document

checkerboard invariants,lattice bgk model

d,accuracy

end of document

component interaction automata,partition refinement

end of document

data replication,data grid

data reliability,data grid

end of document

approximation algorithms,power assignment

end of document

anova f,simulation

variance ratio,simulation

end of document

sequential pattern mining,data mining

end of document

hardware implementation,prediction

end of document

mpsoc,communication synthesis

mp3,communication synthesis

rtl synthesis,communication synthesis

rtl bridges,communication synthesis

end of document

vlsi design,efficient implementation

newspaper layout,strip packing

end of document

artefacts,phase transition

end of document

lens model,camera identification

forensic analysis,camera identification

end of document

end of document

surgical workflow,workflow

end of document

seismicity,olivine

seismic velocity,density anomaly

buoyancy forces,phase transitions

end of document

user preference analysis,social network

dynamic social influence,social network

end of document

clustering,similarity measure

end of document

concurrent programs,concurrency

skolem's functions,parallelism

end of document

concurrency control,decentralization

inconsistency repair,data integration

end of document

end of document

feature extraction,face recognition

maximum scatter difference,fisher linear discriminant

end of document

end of document

benefits,smes

end of document

microgrid,distributed energy resources

symmetrical uncertainty,incomplete information

multi objective,incomplete information

end of document

logical frameworks,rough sets

end of document

invariant manifold method,optimal vector method

hopf bifurcation,optimal vector method

slow manifold method,optimal vector method

end of document

gis,accessibility

routes,accessibility

scheduling,accessibility

design,accessibility

human factors,geographic information systems

transit planning,geographic information systems

transit access,accessibility

end of document

compression,complexity

regular subsquares,square images

image processing,finite automata

end of document

end of document

multi channel scattering,multi channel adiabatic approximation

oblate spheroidal eigenvalues,multi channel adiabatic approximation

end of document

bregman distance,lazy learning

end of document

transportation,job shop scheduling

alternative route risk,job shop scheduling

end of document

split forcing,direct forcing method

diffuse interface,stationary complex boundary

sharp interface,stationary complex boundary

end of document

voxel coverage,coverage representation

3d reconstruction,distance transform

end of document

resampling,tamper hiding

end of document

sum optimal,rank number

path,rank number

cycle,rank number

end of document

automorphism group,orbit

end of document

facilitation,calcium

priming,calcium

release,calcium

end of document

viscoelastic,correspondence principle

functionally graded material,linear elasticity

end of document

power distribution system,power distribution system reconfiguration

optimization,genetic algorithm

arbitrary cost functions,steiner tree problem

end of document

relative coordination,spatial data

end of document

end of document

dft,ab initio

end of document

linear time,very large scale integration

single fault,open interconnect

bridging fault,open interconnect

end of document

hep experiments,asynchronous communications

process control,asynchronous communications

distributed computing,asynchronous communications

end of document

end of document

end of document

goal specificity,mirror neurons

emergence,mirror neurons

end of document

sbf,iterators

metric,quality models

end of document

comparison matrix,stability

end of document

global education,double degree

cs education,curriculum

end of document

